Country,Very happy,Quite happy,Not very happy,Not at all happy,Not know
Argentina,32.4,55.2,9.9,1.4,0.7
Australia,35.2,56.4,7.1,0.8,0
Brazil,34,56.4,8.8,0.6,0.1
Bulgaria,10.7,45.7,32.6,8.3,2.8
Chile,30.5,49,18.6,1.8,0.1
China,18.8,58,19,3.5,0.6
Taiwan,21.6,63.5,11.9,2.9,0
Colombia,48.7,38.2,12,0.9,0.3
Georgia,12.1,54,28.7,3.9,1.2
India,28.9,46.4,21.6,2.7,0.3
Japan,28.4,58.9,8.9,1.1,0
South Korea,12.9,74.5,11.7,0.9,0
Mexico,58.3,32.4,8.3,0.7,0.1
New Zealand,38.1,58.4,2.5,0.1,0.5
Peru,27.9,39.5,30.4,1.8,0
Poland,21.3,66.4,7.2,1.2,3.9
Romania,7.3,48,36.5,7.4,0.6
Russia,10.5,55.2,25.9,3.9,3.8
Serbia,10.2,52,30.1,5.2,2
Slovenia,17.8,62,16.3,2.4,1.2
South Africa,42.7,35.1,15.7,6.1,0.3
Spain,13.6,78.4,6.3,1.2,0.1
Sweden,43,53.1,3.2,0.5,0
Turkey,37.3,48.8,9.4,4.3,0.1
Ukraine,11.3,63.3,17.6,5,2.1
United States,34.4,58.8,6.4,0.4,0
Uruguay,30.3,55.6,11.9,1.7,0
