Country,Very happy,Quite happy,Not very happy,Not at all happy,Not know
Argentina,33.3,53.1,11.6,1,0.5
Australia,34.9,57.7,6.2,0.5,0
Brazil,35.2,56.8,7.2,0.8,0
Chile,24.4,60.1,14.4,0.8,0.1
China,15.7,68.8,13.3,1.1,0.7
Taiwan,26,63.9,7.8,1.3,0.8
Colombia,56.5,35,7.9,0.5,0
Georgia,21.5,48.1,25.3,5.1,0.1
India,37.4,50,10.8,1.4,0.3
Japan,32.3,54.2,9.4,1,3.2
South Korea,15.2,74.8,9.2,0.7,0
Mexico,67.5,26.8,5.3,0.4,0
New Zealand,33.7,58.7,4.3,0.7,0.8
Pakistan,45.6,39.1,10.9,4.2,0
Peru,35.1,40.9,22.4,0.9,0.7
Philippines,49.6,39.8,9.6,1.1,0
Poland,22.2,70.4,5.3,0.5,1
Romania,13.6,55.4,26.4,4,0.3
Russia,14.8,58.5,20.7,1.8,3.8
Singapore,39.1,53.9,6.5,0.5,0
Slovenia,19.5,63.8,14.2,1.8,0.3
South Africa,39.3,37.1,17.7,5.6,0.3
Spain,15.5,70.9,12.2,1.1,0.3
Sweden,40.5,54.1,4.9,0.4,0
Turkey,37.5,46.3,11.9,3.8,0.2
Ukraine,16.1,52,22.6,4.2,4.3
United States,36.1,53.5,8.8,1.2,0
Uruguay,34.2,51.8,11.4,2.1,0.1
