Country,No choice at all,2,3,4,5,6,7,8,9,A great deal of choice,Not know
Argentina,0.5,0.4,0.8,3.4,7.4,14.3,23.1,25.9,10.3,11.8,0.5
Australia,0.8,1.1,2.4,3,7.5,6.7,15.7,25.6,15.7,20.4,0
Brazil,2.1,1.5,2.4,2.2,13.3,9,10.9,12.6,6.5,38.3,1.1
Chile,0.8,0.7,2.7,5,11.5,13.8,17.4,20.1,12.7,14.5,0.7
China,1.2,1.5,2.7,4.1,9.1,11.8,18.1,24.9,10,11.6,1.9
Taiwan,1.6,0.4,1.6,2,11.4,11,16.5,23.3,8.6,21.2,2.6
Colombia,1.3,0.4,0.8,2.1,7.5,6.2,10.4,20.6,16.1,34.3,0.3
Georgia,2.8,2.7,6.2,5.8,24.6,11.5,14.6,13.6,4.8,11.9,1.2
India,2.7,1.2,3,5.8,13.3,15,18.1,14.9,10,15.3,0
Japan,3,2.7,7.3,7.1,23.8,15.4,15.8,12.4,3.3,3.1,6
South Korea,0.8,2.2,4.4,7.3,16.6,13.4,20.1,19,8,8,0
Mexico,2,0.9,1.1,0.7,5,3.2,8.7,19.1,16.2,42.6,0.4
New Zealand,1.2,1,1.3,1.4,6.7,7.3,16.6,24.1,17.1,20.3,1.7
Pakistan,2.6,0.5,2.3,4.1,8.7,12.2,18.6,17.9,13.3,19.7,0
Peru,1.6,0.3,1.6,3,13.3,13.8,15.2,14.8,7.7,27,0.8
Philippines,6.3,1.6,1.1,2.1,13.1,12.6,8,12,5.5,37.8,0
Poland,3.3,1.4,2.9,3.9,18.3,12.4,16.7,22.2,7.4,9.9,1.6
Romania,2.5,0.9,1.6,2.7,8.6,8.6,10.5,15.7,11.9,35.6,1.1
Russia,3.6,3.4,7.2,7.2,20.2,14.3,14.4,13.5,4.3,7.4,4.1
Singapore,0.9,0.8,1.7,4.7,13,17.3,27.8,22,6.3,5.3,0
Slovenia,0.9,0.6,2,1.6,8.8,7.6,12.7,22.5,17.7,25.3,0.2
South Africa,2.6,1,1.7,3.8,11.1,13.4,18.4,22,10.8,14,1.3
Spain,0.8,0.6,2.6,3.1,15.3,16.3,21.7,15.8,7.4,12.8,3.2
Sweden,0.3,0.4,1.7,2.6,9.3,9.5,19.3,24.6,11.3,20.4,0.6
Turkey,1.7,0.3,2.3,4.8,9.3,11.5,16.8,21.8,12.9,17.3,0.9
Ukraine,2.8,2.7,5.1,6.9,16.3,13.9,13.3,17.2,8.7,13,0
United States,0.5,0.6,1.1,2.2,9,8.5,15.6,25.1,17.7,18.4,0
Uruguay,1.7,1.3,2,3.3,8.8,7.9,11.3,19.1,13.3,28.5,2.1
