Country,Very proud,Quite proud,Not very proud,Not at all proud,I am not [nationality],Not know
Argentina,64.6,23.5,4,3.2,3.2,1.5
Chile,71.6,20.7,4.9,2.4,0.3,0.2
China,24.7,53.3,13.2,4,0.1,0
India,66.8,21.1,5.2,1.5,0.1,5.1
Japan,21.1,33.1,34.7,3.5,0,7.6
South Korea,17.4,60.8,18.7,2.9,0,0.2
Mexico,78.8,15,3.9,1.2,0.2,0.8
Pakistan,81.2,16.1,2.3,0.4,0,0
Peru,76.3,17.1,4.6,1.6,0.1,0.3
Philippines,87.1,10.8,1.6,0.5,0,0
Singapore,43.5,49.7,5.5,1.1,0,0.3
South Africa,74.5,19.9,3.2,1.8,0.2,0.4
Spain,60.2,29.7,5.1,2.2,1.2,1.5
Sweden,38.7,42.7,10.9,1.3,0,6.4
Turkey,64.8,21.5,6.4,4.3,0,1.7
United States,71.1,23.2,3.9,0.4,0.6,0.8
Serbia,38.2,30,16.9,6,4.9,3.9
